Product Name,Category,Cost Price,Stock Level,Restock Date,Warehouse/Store ID
Product_0,Furniture,3471.15,340,2024-06-23,2
Product_1,Sports,3087.22,68,2024-09-19,7
Product_2,Groceries,91.65,159,2024-01-07,20
Product_3,Sports,290.25,266,2024-12-27,10
Product_4,Sports,1135.89,335,2024-11-02,9
Product_5,Clothing,4535.59,281,2024-10-30,21
Product_6,Groceries,3281.0,314,2024-09-07,13
Product_7,Groceries,4034.75,95,2024-05-01,7
Product_8,Groceries,3809.42,222,2024-01-01,19
Product_9,Sports,4915.97,79,2024-11-13,13
Product_10,Furniture,4753.28,121,2024-12-11,1
Product_11,Groceries,383.17,415,2024-12-07,14
Product_12,Sports,162.31,411,2024-03-29,20
Product_13,Clothing,2510.49,258,2024-12-17,1
Product_14,Furniture,1395.04,211,2024-02-06,12
Product_15,Clothing,2547.6,449,2024-03-03,9
Product_16,Furniture,498.83,271,2024-03-09,11
Product_17,Sports,4548.87,372,2024-01-30,10
Product_18,Electronics,3881.79,264,2024-07-09,17
Product_19,Furniture,2782.98,497,2024-06-19,5
Product_20,Clothing,2352.1,244,2024-05-01,7
Product_21,Sports,2369.05,176,2024-03-06,24
Product_22,Furniture,3101.52,30,2024-09-07,22
Product_23,Electronics,2749.44,451,2024-06-24,1
Product_24,Electronics,2437.08,276,2024-07-26,10
Product_25,Groceries,3412.32,454,2024-02-07,4
Product_26,Groceries,3836.66,74,2024-10-29,16
Product_27,Clothing,3232.62,90,2024-07-09,15
Product_28,Furniture,1987.37,426,2024-05-01,17
Product_29,Furniture,2100.9,124,2024-09-24,14
Product_30,Groceries,537.73,65,2024-11-10,14
Product_31,Furniture,2102.0,293,2024-07-16,12
Product_32,Furniture,3939.67,499,2024-12-19,5
Product_33,Electronics,379.03,316,2024-01-19,13
Product_34,Groceries,918.82,478,2024-03-11,5
Product_35,Sports,4220.95,328,2024-03-15,17
Product_36,Groceries,2861.34,213,2024-09-26,19
Product_37,Sports,3372.43,358,2024-07-12,18
Product_38,Electronics,1641.72,468,2024-10-03,6
Product_39,Clothing,2469.56,28,2024-07-15,9
Product_40,Furniture,3819.8,166,2024-03-27,22
Product_41,Electronics,4386.41,7,2024-06-19,10
Product_42,Furniture,4872.32,493,2024-05-04,8
Product_43,Clothing,4262.58,59,2024-05-29,19
Product_44,Clothing,384.04,353,2024-06-09,17
Product_45,Electronics,1749.62,183,2024-12-05,17
Product_46,Clothing,3757.0,382,2024-04-19,17
Product_47,Sports,2118.87,193,2024-11-29,6
Product_48,Clothing,2210.04,87,2024-08-31,24
Product_49,Furniture,3981.85,217,2024-12-19,13
Product_50,Furniture,4175.42,97,2024-03-29,5
Product_51,Furniture,3967.47,435,2024-04-05,16
Product_52,Furniture,1805.39,166,2024-03-05,9
Product_53,Sports,1178.67,312,2024-05-26,23
Product_54,Groceries,1825.78,300,2024-09-08,3
Product_55,Electronics,3521.85,374,2024-11-24,10
Product_56,Furniture,1855.34,423,2024-06-03,10
Product_57,Clothing,324.14,258,2024-08-27,8
Product_58,Furniture,4013.75,401,2024-11-04,1
Product_59,Clothing,363.96,419,2024-12-25,13
Product_60,Clothing,4980.86,324,2024-11-01,15
Product_61,Furniture,4314.76,481,2024-08-27,15
Product_62,Sports,4783.87,405,2024-01-12,14
Product_63,Clothing,4174.62,321,2024-08-10,21
Product_64,Clothing,550.29,182,2024-12-24,13
Product_65,Furniture,2122.84,45,2024-09-08,6
Product_66,Clothing,4544.28,390,2024-12-16,3
Product_67,Clothing,499.85,93,2024-01-26,6
Product_68,Furniture,1560.97,429,2024-04-15,15
Product_69,Furniture,2362.14,276,2024-09-17,4
Product_70,Electronics,2277.08,495,2024-10-14,4
Product_71,Sports,4722.31,423,2024-08-30,2
Product_72,Sports,2005.84,91,2024-08-17,13
Product_73,Clothing,1232.86,417,2024-02-18,23
Product_74,Sports,2252.43,311,2024-04-29,14
Product_75,Clothing,2010.17,440,2024-11-29,7
Product_76,Electronics,3135.35,372,2024-09-15,4
Product_77,Furniture,4971.03,68,2024-03-08,6
Product_78,Furniture,2779.52,415,2024-05-16,17
Product_79,Furniture,2338.02,83,2024-03-06,12
Product_80,Sports,2989.57,371,2024-09-13,11
Product_81,Electronics,4900.01,335,2024-02-11,9
Product_82,Sports,3142.76,381,2024-04-19,19
Product_83,Sports,658.53,489,2024-09-14,4
Product_84,Electronics,4567.81,46,2024-12-18,22
Product_85,Electronics,2974.57,156,2024-04-24,22
Product_86,Electronics,832.62,31,2024-03-17,15
Product_87,Electronics,1190.94,452,2024-03-04,14
Product_88,Furniture,646.65,132,2024-05-01,23
Product_89,Groceries,4805.76,68,2024-10-17,19
Product_90,Groceries,400.71,499,2024-01-26,5
Product_91,Electronics,3833.92,419,2024-10-30,13
Product_92,Groceries,1721.41,335,2024-03-14,23
Product_93,Groceries,451.51,310,2024-08-31,16
Product_94,Electronics,2197.54,430,2024-07-12,18
Product_95,Groceries,51.34,318,2024-03-18,6
Product_96,Sports,4095.5,222,2024-10-24,4
Product_97,Clothing,2732.48,307,2024-10-08,10
Product_98,Clothing,2286.15,381,2024-03-23,12
Product_99,Electronics,4154.68,324,2024-05-03,4
Product_100,Furniture,2620.64,407,2024-04-13,18
Product_101,Electronics,2996.73,220,2024-02-03,4
Product_102,Furniture,4083.35,29,2024-11-14,10
Product_103,Clothing,3616.82,165,2024-06-28,12
Product_104,Electronics,3312.24,76,2024-05-31,11
Product_105,Sports,3535.5,224,2024-12-22,22
Product_106,Groceries,1351.7,51,2024-02-11,6
Product_107,Furniture,630.38,455,2024-04-22,22
Product_108,Groceries,3132.2,421,2024-08-13,5
Product_109,Groceries,1158.88,294,2024-09-24,7
Product_110,Electronics,285.72,307,2024-01-26,6
Product_111,Groceries,1308.89,266,2024-03-13,5
Product_112,Sports,3615.33,98,2024-09-21,16
Product_113,Groceries,3556.69,19,2024-11-06,9
Product_114,Electronics,4521.14,306,2024-04-28,13
Product_115,Sports,3392.38,320,2024-11-15,9
Product_116,Clothing,2226.65,45,2024-11-22,7
Product_117,Groceries,1339.47,17,2024-08-29,3
Product_118,Electronics,3804.08,307,2024-04-16,9
Product_119,Clothing,2089.26,109,2024-02-28,7
Product_120,Clothing,4086.67,357,2024-02-24,5
Product_121,Furniture,4265.55,412,2024-05-14,1
Product_122,Sports,1790.26,30,2024-03-26,8
Product_123,Groceries,1751.93,373,2024-05-27,14
